Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,PPG,APG,RPG,SPG,BPG,PPG_Score,APG_Score,RPG_Score,SPG_Score,BPG_Score,eFG%_Score,win_percentage,ranking,MVP
86.0,Paul George,34.0,PHI,PF,41.0,41.0,32.5,6.0,13.9,0.43,2.3,6.5,0.358,3.6,7.4,0.493,0.514,1.9,2.4,0.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,,0.39512195121951216,0.1048780487804878,0.12926829268292683,0.04390243902439025,0.012195121951219513,0.02822299651567944,0.02097560975609756,0.016158536585365854,0.04390243902439025,0.012195121951219513,0.4112,0.293,26.0,0
87.0,Jalen Suggs,23.0,ORL,PG,35.0,35.0,28.6,5.6,13.7,0.41,2.2,6.9,0.314,3.5,6.8,0.506,0.489,2.8,3.1,0.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,,0.46285714285714286,0.10571428571428572,0.11428571428571428,0.04285714285714286,0.025714285714285714,0.03306122448979592,0.021142857142857144,0.014285714285714285,0.04285714285714286,0.025714285714285714,0.3912,0.5,15.0,0
88.0,Bennedict Mathurin,22.0,IND,SF,72.0,49.0,29.8,5.4,11.8,0.458,1.4,4.0,0.34,4.1,7.8,0.519,0.516,3.8,4.6,0.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,,0.22361111111111112,0.02638888888888889,0.07361111111111111,0.009722222222222222,0.004166666666666667,0.015972222222222224,0.005277777777777778,0.00920138888888889,0.009722222222222222,0.004166666666666667,0.4128,0.61,6.0,0
89.0,Myles Turner,28.0,IND,C,72.0,72.0,30.2,5.4,11.3,0.481,2.2,5.5,0.396,3.3,5.8,0.561,0.577,2.6,3.3,0.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,,0.21666666666666667,0.020833333333333332,0.09027777777777778,0.011111111111111112,0.027777777777777776,0.015476190476190477,0.004166666666666667,0.011284722222222222,0.011111111111111112,0.027777777777777776,0.46159999999999995,0.61,6.0,0
90.0,Christian Braun,23.0,DEN,SG,79.0,77.0,33.9,6.0,10.4,0.58,1.1,2.8,0.397,4.9,7.6,0.648,0.634,2.2,2.7,0.827,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,15.4,,0.1949367088607595,0.03291139240506329,0.06582278481012659,0.013924050632911394,0.006329113924050633,0.013924050632911394,0.006582278481012659,0.008227848101265823,0.013924050632911394,0.006329113924050633,0.5072,0.61,8.0,0
91.0,Jonathan Kuminga,22.0,GSW,PF,47.0,10.0,24.3,5.5,12.1,0.454,1.0,3.2,0.305,4.5,8.9,0.508,0.495,3.3,5.0,0.668,1.2,3.4,4.6,2.2,0.8,0.4,1.5,1.9,15.3,,0.32553191489361705,0.04680851063829788,0.0978723404255319,0.01702127659574468,0.00851063829787234,0.02325227963525836,0.009361702127659575,0.012234042553191488,0.01702127659574468,0.00851063829787234,0.396,0.585,12.0,0
92.0,Jared McCain,20.0,PHI,SG,23.0,8.0,25.7,5.5,11.9,0.46,2.2,5.8,0.383,3.3,6.1,0.532,0.553,2.1,2.4,0.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,ROY-7,0.6652173913043479,0.11304347826086956,0.10434782608695652,0.03043478260869565,0.0,0.04751552795031056,0.022608695652173914,0.013043478260869565,0.03043478260869565,0.0,0.4424,0.293,26.0,0
93.0,Mark Williams,23.0,CHO,C,44.0,41.0,26.6,6.1,10.2,0.604,0.0,0.1,0.0,6.1,10.1,0.609,0.604,3.0,3.7,0.804,3.0,7.2,10.2,2.5,0.7,1.2,1.6,2.4,15.3,,0.3477272727272727,0.056818181818181816,0.2318181818181818,0.015909090909090907,0.02727272727272727,0.024837662337662336,0.011363636363636364,0.028977272727272727,0.015909090909090907,0.02727272727272727,0.48319999999999996,0.232,28.0,0
94.0,Kelly Oubre Jr.,29.0,PHI,SF,60.0,57.0,34.6,5.8,12.4,0.47,1.2,4.0,0.293,4.6,8.3,0.555,0.518,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,,0.25166666666666665,0.030000000000000002,0.10166666666666666,0.025,0.008333333333333333,0.017976190476190475,0.006,0.012708333333333332,0.025,0.008333333333333333,0.4144,0.293,26.0,0
95.0,Chet Holmgren,22.0,OKC,C,32.0,32.0,27.4,5.2,10.7,0.49,1.4,3.6,0.379,3.8,7.0,0.547,0.554,3.2,4.2,0.754,1.5,6.5,8.0,2.0,0.7,2.2,1.8,2.3,15.0,,0.46875,0.0625,0.25,0.021875,0.06875,0.033482142857142856,0.0125,0.03125,0.021875,0.06875,0.44320000000000004,0.829,1.0,0
