Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,PPG,APG,RPG,SPG,BPG,PPG_Score,APG_Score,RPG_Score,SPG_Score,BPG_Score,eFG%_Score,per,usagePercent,offensiveWs,winShares,offensiveBox,vorp,win_percentage,ranking,MVP
132.0,Santi Aldama,24.0,MEM,PF,65.0,16.0,25.5,4.8,10.0,0.483,1.8,5.0,0.368,3.0,5.0,0.599,0.576,1.0,1.4,0.691,1.4,5.0,6.4,2.9,0.8,0.4,1.1,1.2,12.5,,0.19230769230769232,0.04461538461538461,0.09846153846153846,0.012307692307692308,0.006153846153846154,0.013736263736263738,0.008923076923076922,0.012307692307692308,0.012307692307692308,0.006153846153846154,0.4608,16.8,18.5,2.9,5.0,2.5,2.2,0.585,13.0,0
133.0,Ty Jerome,27.0,CLE,SG,70.0,3.0,19.9,4.6,8.8,0.516,1.6,3.6,0.439,3.0,5.2,0.57,0.606,1.8,2.1,0.872,0.7,1.8,2.5,3.4,1.1,0.0,1.3,1.5,12.5,6MOY-3,0.17857142857142858,0.04857142857142857,0.03571428571428571,0.015714285714285715,0.0,0.012755102040816327,0.009714285714285713,0.004464285714285714,0.015714285714285715,0.0,0.4848,21.0,23.6,4.2,5.9,3.5,2.2,0.78,2.0,0
139.0,Daniel Gafford,26.0,DAL,C,57.0,31.0,21.5,5.0,7.1,0.702,0.0,0.0,,5.0,7.1,0.702,0.702,2.4,3.4,0.689,2.7,4.1,6.8,1.4,0.4,1.8,1.2,2.7,12.3,,0.21578947368421053,0.02456140350877193,0.11929824561403508,0.007017543859649123,0.031578947368421054,0.015413533834586466,0.004912280701754386,0.014912280701754385,0.007017543859649123,0.031578947368421054,0.5616,24.7,19.5,4.4,5.9,2.7,1.8,0.476,19.0,0
144.0,Tari Eason,23.0,HOU,PF,57.0,16.0,24.9,4.8,9.8,0.487,1.1,3.2,0.342,3.7,6.6,0.557,0.543,1.4,1.8,0.76,2.2,4.1,6.4,1.5,1.7,0.9,1.1,2.4,12.0,,0.21052631578947367,0.02631578947368421,0.11228070175438597,0.02982456140350877,0.015789473684210527,0.015037593984962405,0.005263157894736842,0.014035087719298246,0.02982456140350877,0.015789473684210527,0.4344,18.5,19.4,2.1,5.0,1.0,2.0,0.634,4.0,0
145.0,Rudy Gobert,32.0,MIN,C,72.0,72.0,33.2,4.7,7.1,0.669,0.0,0.0,,4.7,7.1,0.669,0.669,2.6,3.8,0.674,3.7,7.2,10.9,1.8,0.8,1.4,1.2,2.5,12.0,"DPOY-13,DEF2",0.16666666666666666,0.025,0.1513888888888889,0.011111111111111112,0.019444444444444445,0.011904761904761904,0.005,0.018923611111111113,0.011111111111111112,0.019444444444444445,0.5352,18.3,13.0,6.1,10.1,0.6,2.4,0.598,10.0,0
147.0,Aaron Wiggins,26.0,OKC,SG,76.0,26.0,22.9,4.7,9.6,0.488,1.7,4.5,0.383,3.0,5.1,0.578,0.577,1.0,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12.0,,0.15789473684210525,0.02368421052631579,0.05131578947368421,0.010526315789473684,0.002631578947368421,0.011278195488721804,0.004736842105263158,0.006414473684210526,0.010526315789473684,0.002631578947368421,0.46159999999999995,16.1,20.3,2.7,5.4,1.3,1.4,0.829,1.0,0
149.0,Jalen Duren,21.0,DET,C,78.0,78.0,26.1,4.8,7.0,0.692,0.0,0.0,,4.8,7.0,0.692,0.692,2.1,3.1,0.669,3.6,6.8,10.3,2.7,0.7,1.1,1.7,3.2,11.8,,0.1512820512820513,0.03461538461538462,0.13205128205128205,0.008974358974358974,0.014102564102564105,0.010805860805860807,0.006923076923076923,0.016506410256410257,0.008974358974358974,0.014102564102564105,0.5536,21.4,16.4,5.9,9.2,1.6,2.7,0.537,14.0,0
155.0,Isaiah Hartenstein,26.0,OKC,C,57.0,53.0,27.9,4.9,8.4,0.581,0.0,0.3,0.0,4.9,8.1,0.605,0.581,1.4,2.1,0.675,2.9,7.9,10.7,3.8,0.8,1.1,1.7,3.0,11.2,,0.19649122807017544,0.06666666666666667,0.18771929824561404,0.014035087719298246,0.01929824561403509,0.014035087719298246,0.013333333333333332,0.023464912280701754,0.014035087719298246,0.01929824561403509,0.4648,18.9,16.7,3.2,6.8,0.6,2.1,0.829,1.0,0
172.0,Obi Toppin,26.0,IND,PF,79.0,4.0,19.6,4.0,7.6,0.529,1.4,3.8,0.365,2.6,3.8,0.695,0.621,1.1,1.4,0.781,0.7,3.3,4.0,1.6,0.6,0.4,0.9,1.4,10.5,,0.13291139240506328,0.020253164556962026,0.05063291139240506,0.007594936708860759,0.005063291139240506,0.009493670886075948,0.004050632911392405,0.006329113924050633,0.007594936708860759,0.005063291139240506,0.4968,17.4,20.1,2.7,4.3,1.8,1.4,0.61,6.0,0
196.0,Scotty Pippen Jr.,24.0,MEM,PG,79.0,21.0,21.3,3.6,7.5,0.48,1.1,2.8,0.397,2.5,4.7,0.528,0.553,1.5,2.2,0.713,0.8,2.5,3.3,4.4,1.3,0.4,1.7,2.6,9.9,,0.12531645569620253,0.055696202531645575,0.04177215189873418,0.016455696202531647,0.005063291139240506,0.00895117540687161,0.011139240506329116,0.005221518987341772,0.016455696202531647,0.005063291139240506,0.4424,15.8,19.3,2.4,4.7,0.0,1.7,0.585,13.0,0
214.0,Zach Edey,22.0,MEM,C,66.0,55.0,21.5,3.8,6.6,0.58,0.3,0.8,0.346,3.5,5.8,0.612,0.6,1.4,1.9,0.709,3.5,4.8,8.3,1.0,0.5,1.3,1.3,2.8,9.2,ROY-5,0.13939393939393938,0.015151515151515152,0.12575757575757576,0.007575757575757576,0.0196969696969697,0.009956709956709955,0.0030303030303030303,0.01571969696969697,0.007575757575757576,0.0196969696969697,0.48,18.2,16.4,2.7,4.9,-0.2,0.7,0.585,13.0,0
256.0,Brandon Clarke,28.0,MEM,PF,64.0,18.0,18.9,3.7,5.9,0.621,0.0,0.3,0.059,3.7,5.7,0.647,0.622,1.0,1.4,0.701,2.0,3.1,5.1,1.0,0.8,0.6,0.6,2.3,8.3,,0.1296875,0.015625,0.0796875,0.0125,0.009375,0.009263392857142857,0.003125,0.0099609375,0.0125,0.009375,0.4976,17.6,15.3,2.7,4.4,0.0,0.9,0.585,13.0,0
284.0,Goga Bitadze,25.0,ORL,C,70.0,42.0,20.4,3.0,4.8,0.611,0.0,0.4,0.107,2.9,4.4,0.656,0.615,1.2,1.9,0.639,2.4,4.2,6.6,2.0,0.7,1.4,1.0,2.1,7.2,,0.10285714285714286,0.02857142857142857,0.09428571428571428,0.01,0.02,0.007346938775510204,0.005714285714285714,0.011785714285714285,0.01,0.02,0.492,19.2,14.3,2.8,5.8,-0.3,1.6,0.5,15.0,0
342.0,Luke Kornet,29.0,BOS,C,73.0,16.0,18.6,2.6,3.8,0.668,0.0,0.0,0.0,2.6,3.8,0.675,0.668,0.9,1.3,0.691,2.6,2.7,5.3,1.6,0.5,1.0,0.4,1.6,6.0,,0.0821917808219178,0.021917808219178082,0.07260273972602739,0.00684931506849315,0.0136986301369863,0.005870841487279843,0.004383561643835616,0.009075342465753424,0.00684931506849315,0.0136986301369863,0.5344,19.6,11.4,4.8,7.0,1.6,1.8,0.744,3.0,0
397.0,Kevon Looney,28.0,GSW,C,76.0,6.0,15.0,1.9,3.7,0.514,0.0,0.1,0.4,1.9,3.6,0.516,0.518,0.7,1.3,0.566,2.4,3.6,6.1,1.6,0.6,0.5,0.5,2.0,4.5,,0.05921052631578947,0.021052631578947368,0.08026315789473684,0.007894736842105263,0.006578947368421052,0.0042293233082706765,0.004210526315789474,0.010032894736842105,0.007894736842105263,0.006578947368421052,0.4144,17.0,13.3,2.2,4.3,-1.0,0.7,0.585,12.0,0
